App_MyTT,ARPU_Nov24,ARPU_Dec24,ARPU_Jan25,Min_TT_Nov24,Min_TT_Dec24,Min_TT_Jan25,Min_HorsTT_Nov24,Min_HorsTT_Dec24,Min_HorsTT_Jan25,Min_TT_ServiceClient_Nov24,Min_TT_ServiceClient_Dec24,Min_TT_ServiceClient_Jan25,Nbr_Recharges_Nov24,Nbr_Recharges_Dec24,Nbr_Recharges_Jan25,Volume_Data_Nov24,Volume_Data_Dec24,Volume_Data_Jan25,Ancienneté_Abonné,Résiliation
1,34.047,355.074,268.321,24.11,78.68,7.68,15.74,99.84,304.76,0.0,2.91,0.0,4,9,11,0.0,108.07,365.47,1006,0
0,167.69,189.058,210.226,11.54,55.24,37.26,143.33,220.59,208.36,0.0,135.54,45.76,5,4,2,0.0,0.0,0.0,1103,0
1,221.338,251.102,508.054,99.91,54.39,262.38,123.31,109.01,71.68,0.0,0.0,0.0,10,11,18,0.0,0.0,0.0,2491,0
1,261.636,309.876,238.174,50.31,149.44,83.89,76.96,91.88,124.26,0.0,0.0,0.0,5,6,3,0.0,0.0,0.0,1526,0
0,50.258,58.81,83.386,50.16,43.63,85.48,19.28,13.44,14.46,0.0,0.0,0.0,2,2,3,0.0,0.0,0.0,1471,0
1,429.023,190.704,255.114,71.03,45.03,76.66,262.73,49.24,92.08,0.11,0.0,0.0,15,10,11,0.0,0.0,0.0,1673,0
1,795.01625,790.6380000000001,799.2919999999999,57.84,54.68,52.29,453.43,513.1300000000001,325.91,0.0,0.0,0.0,5,5,7,0.0,0.0,0.0,802,0
1,378.721,492.223,137.362,286.1175,272.965,35.08,94.66,80.63,136.48,0.0,0.0,7.15,19,19,14,0.0,1106.95,11.97,315,0
0,119.518,247.435,170.231,33.89,30.11,22.43,63.48,54.16,78.34,0.0,0.0,0.0,4,2,5,0.0,7.37,0.0,902,0
0,218.818,386.515,386.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,2085.27,3208.92,0.0,1158,1
0,340.765,0.0,0.0,45.28,0.0,0.0,114.79,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,1179,1
