,Type,Missing (%),Zeros (%),Min,P25,Median,Mean,P75,Max,Std,Outliers (%)
App_MyTT,int64,0.0,41.27,0.0,0.0,1.0,0.587252402009834,1.0,1.0,0.4923308098037292,0.0
ARPU_Nov24,float64,0.0,1.5,-2258.709,101.6625,205.227,291.9275781070118,379.004,27731.088,331.0901235180117,5.82
ARPU_Dec24,float64,0.0,2.91,-1289.715,90.3805,195.799,283.33874862012203,370.48350000000005,35145.834,341.0162438478169,5.8
ARPU_Jan25,float64,0.0,5.15,-491.545,84.682,192.966,280.1056844410015,370.526,33543.624,345.81603568754053,5.57
Min_TT_Nov24,float64,0.0,9.32,0.0,7.36,34.29,132.49407469174324,118.86,7376.71,297.06085158175097,12.05
Min_TT_Dec24,float64,2.17,9.16,0.0,6.88,32.74,134.39815402212886,116.6375,8157.78,308.6410453863636,12.08
Min_TT_Jan25,float64,4.3,9.34,0.0,6.51,32.24,132.02588466770854,114.87,9977.41,305.58419792096703,11.73
Min_HorsTT_Nov24,float64,0.0,3.89,0.0,34.695,96.36,198.04860655032175,231.82500000000002,8362.36,316.8196608712436,8.55
Min_HorsTT_Dec24,float64,2.17,3.76,0.0,32.94,92.74,198.63386166164403,228.305,9667.13,327.4062829923843,8.72
Min_HorsTT_Jan25,float64,4.3,4.16,0.0,31.93,92.19,196.1332102582553,227.63,14007.34,325.96254235665424,8.5
Min_TT_ServiceClient_Nov24,float64,0.0,80.2,0.0,0.0,0.0,1.1202712444320115,0.0,342.86,5.448205809144204,19.8
Min_TT_ServiceClient_Dec24,float64,2.17,77.14,0.0,0.0,0.0,1.354369569521128,0.0,916.24,7.496550533218225,20.68
Min_TT_ServiceClient_Jan25,float64,4.3,74.34,0.0,0.0,0.0,1.4154540548441135,0.0,502.09,6.82155157402375,21.35
Nbr_Recharges_Nov24,int64,0.0,0.87,0.0,4.0,6.0,7.7872567057228625,10.0,307.0,7.1201054035766305,5.82
Nbr_Recharges_Dec24,int64,0.0,1.21,0.0,4.0,6.0,7.821417427885908,10.0,138.0,7.090440177957656,5.99
Nbr_Recharges_Jan25,int64,0.0,3.34,0.0,3.0,5.0,7.223513336130747,9.0,196.0,7.180178002265025,6.45
Volume_Data_Nov24,float64,0.0,76.23,0.0,0.0,0.0,173.940472870469,0.0,45735.41,597.9480894893707,23.77
Volume_Data_Dec24,float64,0.0,76.17,0.0,0.0,0.0,178.95883068117018,0.0,28395.42,589.3556292702194,23.83
Volume_Data_Jan25,float64,0.0,76.01,0.0,0.0,0.0,182.85979105473245,0.0,30036.2,600.919277250183,23.99
Ancienneté_Abonné,int64,0.0,0.0,180.0,473.0,886.0,1237.22869931033,1853.0,4337.0,959.5738215538745,0.08
Résiliation,int64,0.0,97.45,0.0,0.0,0.0,0.025456462563076293,0.0,1.0,0.15750777123889156,2.55
